coin_name,abbreviated_name,amount,difference,value,rank
EOS,(EOS),2.63,,0.00069658,Rank 5
Bitcoin,(BTC),3763.14,-0.73,1,Rank 1
Tether,(USDT),1.01,-0.39,0.00026938,Rank 7
Ethereum,(ETH),139.89,,0.03714112,Rank 3
Binance Coin,(BNB),6.11,,0.00155873,Rank 14
Monero,(XMR),48.18,-1.09,0.01245775,Rank 13
XRP,(XRP),0.376038,,0.00009531,Rank 2
IOTA,(MIOTA),0.370231,-3.51,0.00009776,Rank 12
Bitcoin Cash,(BCH),160.12,-0.61,0.04186655,Rank 4
Zcoin,(XZC),5.43,-0.72,0.00140143,Rank 93
THETA,(THETA),0.0498,-0.79,0.00001314,Rank 98
STASIS EURS,(EURS),1.12,-0.69,0.0002959,Rank 99
Dash,(DASH),80.08,-2.23,0.02114546,Rank 15
DigixDAO,(DGD),19.96,,0.00507636,Rank 88
MOAC,(MOAC),0.598146,-0.46,0.00015469,Rank 95
Veritaseum,(VERI),16.78,,0.00449406,Rank 92
Aion,(AION),0.151449,,0.00003997,Rank 80
HyperCash,(HC),0.875613,,0.0002311,Rank 89
Maximine Coin,(MXM),0.005513,-16.94,0.0000015,Rank 259
Bancor,(BNT),0.632848,-1.12,0.00016769,Rank 85
Buggyra Coin Zero,(BCZERO),0.009665,-1.75,0.00000234,Rank 182
Waltonchain,(WTC),1.11,-2.79,0.00029273,Rank 77
Ark,(ARK),0.386167,,0.00010245,Rank 81
PIVX,(PIVX),0.742205,-3.54,0.00019197,Rank 84
MaidSafeCoin,(MAID),0.142889,,0.00003655,Rank 62
KuCoin Shares,(KCS),0.603713,-2.4,0.00016131,Rank 66
Status,(SNT),0.018101,-2.19,0.00000458,Rank 64
Cryptonex,(CNX),1.11,-1.65,0.00029338,Rank 63
Golem,(GNT),0.069166,-7.68,0.00001825,Rank 60
Aurora,(AOA),0.010374,-7.97,0.00000274,Rank 58
IOST,(IOST),0.005642,,0.00000149,Rank 59
Bytom,(BTM),0.078637,-2.44,0.00002075,Rank 54
Factom,(FCT),7.91,-4.23,0.00208832,Rank 58
Dai,(DAI),1.01,,0.00026743,Rank 57
Populous,(PPT),1.53,,0.00039501,Rank 54
Augur,(REP),8.78,,0.00231825,Rank 48
Komodo,(KMD),0.753933,-2.49,0.00019898,Rank 52
Aeternity,(AE),0.409616,-2.82,0.00010693,Rank 47
Siacoin,(SC),0.002823,,0.00000071,Rank 45
BitShares,(BTS),0.04023,,0.00001019,Rank 45
Chainlink,(LINK),0.294151,,0.00007519,Rank 46
Bytecoin,(BCN),0.000711,-0.29,0.00000018,Rank 38
Nano,(NANO),0.91003,-3.49,0.00024019,Rank 41
Bitcoin Diamond,(BCD),0.915645,-1.74,0.00023919,Rank 37
DigiByte,(DGB),0.01074,-0.87,0.00000283,Rank 42
Decred,(DCR),17.71,,0.00456765,Rank 34
OmiseGO,(OMG),1.34,-5.07,0.00036027,Rank 29
Basic Attention Token,(BAT),0.131414,,0.00003418,Rank 34
Qtum,(QTUM),2.27,,0.00058687,Rank 29
Bitcoin Gold,(BTG),13.56,-3.16,0.0035425,Rank 25
TrueUSD,(TUSD),1.01,,0.00026915,Rank 27
VeChain,(VET),0.004115,,0.00000107,Rank 26
Lisk,(LSK),1.34,-2.52,0.00035408,Rank 35
USD Coin,(USDC),1.02,,0.00027039,Rank 24
Dogecoin,(DOGE),0.002353,-1.14,0.00000062,Rank 23
Tezos,(XTZ),0.482671,,0.00012739,Rank 22
Maker,(MKR),458.21,-0.05,0.11735176,Rank 20
Ethereum Classic,(ETC),5.11,-1,0.00134783,Rank 17
Zcash,(ZEC),57.17,-2.29,0.01508931,Rank 20
NEO,(NEO),7.81,-1.92,0.0020418,Rank 18
